 v-sweep         v(Vout)         v-sweep         v(V2)           v-sweep         v(V1)          
 1.47000000e+00  1.79776476e+00  1.47000000e+00  5.00000000e-01  1.47000000e+00  1.47000000e+00 
 1.48000000e+00  1.79776476e+00  1.48000000e+00  5.00000000e-01  1.48000000e+00  1.48000000e+00 
 1.49000000e+00  1.79776477e+00  1.49000000e+00  5.00000000e-01  1.49000000e+00  1.49000000e+00 
 1.50000000e+00  1.79776477e+00  1.50000000e+00  5.00000000e-01  1.50000000e+00  1.50000000e+00 
 1.51000000e+00  1.79776477e+00  1.51000000e+00  5.00000000e-01  1.51000000e+00  1.51000000e+00 
 1.52000000e+00  1.79776478e+00  1.52000000e+00  5.00000000e-01  1.52000000e+00  1.52000000e+00 
 1.53000000e+00  1.79776478e+00  1.53000000e+00  5.00000000e-01  1.53000000e+00  1.53000000e+00 
 1.54000000e+00  1.79776479e+00  1.54000000e+00  5.00000000e-01  1.54000000e+00  1.54000000e+00 
 1.55000000e+00  1.79776479e+00  1.55000000e+00  5.00000000e-01  1.55000000e+00  1.55000000e+00 
 1.56000000e+00  1.79776480e+00  1.56000000e+00  5.00000000e-01  1.56000000e+00  1.56000000e+00 
 1.57000000e+00  1.79776480e+00  1.57000000e+00  5.00000000e-01  1.57000000e+00  1.57000000e+00 
 1.58000000e+00  1.79776481e+00  1.58000000e+00  5.00000000e-01  1.58000000e+00  1.58000000e+00 
 1.59000000e+00  1.79776481e+00  1.59000000e+00  5.00000000e-01  1.59000000e+00  1.59000000e+00 
 1.60000000e+00  1.79776481e+00  1.60000000e+00  5.00000000e-01  1.60000000e+00  1.60000000e+00 
 1.61000000e+00  1.79776482e+00  1.61000000e+00  5.00000000e-01  1.61000000e+00  1.61000000e+00 
 1.62000000e+00  1.79776482e+00  1.62000000e+00  5.00000000e-01  1.62000000e+00  1.62000000e+00 
 1.63000000e+00  1.79776482e+00  1.63000000e+00  5.00000000e-01  1.63000000e+00  1.63000000e+00 
 1.64000000e+00  1.79776483e+00  1.64000000e+00  5.00000000e-01  1.64000000e+00  1.64000000e+00 
 1.65000000e+00  1.79776483e+00  1.65000000e+00  5.00000000e-01  1.65000000e+00  1.65000000e+00 
 1.66000000e+00  1.79776483e+00  1.66000000e+00  5.00000000e-01  1.66000000e+00  1.66000000e+00 
 1.67000000e+00  1.79776484e+00  1.67000000e+00  5.00000000e-01  1.67000000e+00  1.67000000e+00 
 1.68000000e+00  1.79776484e+00  1.68000000e+00  5.00000000e-01  1.68000000e+00  1.68000000e+00 
 1.69000000e+00  1.79776484e+00  1.69000000e+00  5.00000000e-01  1.69000000e+00  1.69000000e+00 
 1.70000000e+00  1.79776484e+00  1.70000000e+00  5.00000000e-01  1.70000000e+00  1.70000000e+00 
 1.71000000e+00  1.79776485e+00  1.71000000e+00  5.00000000e-01  1.71000000e+00  1.71000000e+00 
 1.72000000e+00  1.79776485e+00  1.72000000e+00  5.00000000e-01  1.72000000e+00  1.72000000e+00 
 1.73000000e+00  1.79776485e+00  1.73000000e+00  5.00000000e-01  1.73000000e+00  1.73000000e+00 
 1.74000000e+00  1.79776485e+00  1.74000000e+00  5.00000000e-01  1.74000000e+00  1.74000000e+00 
 1.75000000e+00  1.79776486e+00  1.75000000e+00  5.00000000e-01  1.75000000e+00  1.75000000e+00 
 1.76000000e+00  1.79776486e+00  1.76000000e+00  5.00000000e-01  1.76000000e+00  1.76000000e+00 
 1.77000000e+00  1.79776486e+00  1.77000000e+00  5.00000000e-01  1.77000000e+00  1.77000000e+00 
 1.78000000e+00  1.79776486e+00  1.78000000e+00  5.00000000e-01  1.78000000e+00  1.78000000e+00 
 1.79000000e+00  1.79776487e+00  1.79000000e+00  5.00000000e-01  1.79000000e+00  1.79000000e+00 
 1.80000000e+00  1.79776487e+00  1.80000000e+00  5.00000000e-01  1.80000000e+00  1.80000000e+00 
 0.00000000e+00  6.05257109e-08  0.00000000e+00  7.00000000e-01  0.00000000e+00  0.00000000e+00 
 1.00000000e-02  6.05257134e-08  1.00000000e-02  7.00000000e-01  1.00000000e-02  1.00000000e-02 
 2.00000000e-02  6.05257171e-08  2.00000000e-02  7.00000000e-01  2.00000000e-02  2.00000000e-02 
 3.00000000e-02  6.05257214e-08  3.00000000e-02  7.00000000e-01  3.00000000e-02  3.00000000e-02 
 4.00000000e-02  6.05257264e-08  4.00000000e-02  7.00000000e-01  4.00000000e-02  4.00000000e-02 
 5.00000000e-02  6.05257337e-08  5.00000000e-02  7.00000000e-01  5.00000000e-02  5.00000000e-02 
 6.00000000e-02  6.05257427e-08  6.00000000e-02  7.00000000e-01  6.00000000e-02  6.00000000e-02 
 7.00000000e-02  6.05257555e-08  7.00000000e-02  7.00000000e-01  7.00000000e-02  7.00000000e-02 
