 v-sweep         v(Vout)         v(V1)           v(V2)          
 2.75000000e-01  2.22059866e-02  2.75000000e-01  5.00000000e-01 
 2.76000000e-01  2.22077672e-02  2.76000000e-01  5.00000000e-01 
 2.77000000e-01  2.22095994e-02  2.77000000e-01  5.00000000e-01 
 2.78000000e-01  2.22114768e-02  2.78000000e-01  5.00000000e-01 
 2.79000000e-01  2.22134106e-02  2.79000000e-01  5.00000000e-01 
 2.80000000e-01  2.22153929e-02  2.80000000e-01  5.00000000e-01 
 2.81000000e-01  2.22174283e-02  2.81000000e-01  5.00000000e-01 
 2.82000000e-01  2.22195223e-02  2.82000000e-01  5.00000000e-01 
 2.83000000e-01  2.22216710e-02  2.83000000e-01  5.00000000e-01 
 2.84000000e-01  2.22238769e-02  2.84000000e-01  5.00000000e-01 
 2.85000000e-01  2.22261444e-02  2.85000000e-01  5.00000000e-01 
 2.86000000e-01  2.22284731e-02  2.86000000e-01  5.00000000e-01 
 2.87000000e-01  2.22308626e-02  2.87000000e-01  5.00000000e-01 
 2.88000000e-01  2.22333182e-02  2.88000000e-01  5.00000000e-01 
 2.89000000e-01  2.22358408e-02  2.89000000e-01  5.00000000e-01 
 2.90000000e-01  2.22384304e-02  2.90000000e-01  5.00000000e-01 
 2.91000000e-01  2.22410922e-02  2.91000000e-01  5.00000000e-01 
 2.92000000e-01  2.22438248e-02  2.92000000e-01  5.00000000e-01 
 2.93000000e-01  2.22466306e-02  2.93000000e-01  5.00000000e-01 
 2.94000000e-01  2.22495129e-02  2.94000000e-01  5.00000000e-01 
 2.95000000e-01  2.22524731e-02  2.95000000e-01  5.00000000e-01 
 2.96000000e-01  2.22555146e-02  2.96000000e-01  5.00000000e-01 
 2.97000000e-01  2.22586387e-02  2.97000000e-01  5.00000000e-01 
 2.98000000e-01  2.22618465e-02  2.98000000e-01  5.00000000e-01 
 2.99000000e-01  2.22651415e-02  2.99000000e-01  5.00000000e-01 
 3.00000000e-01  2.22685243e-02  3.00000000e-01  5.00000000e-01 
 3.01000000e-01  2.22719994e-02  3.01000000e-01  5.00000000e-01 
 3.02000000e-01  2.22755686e-02  3.02000000e-01  5.00000000e-01 
 3.03000000e-01  2.22792342e-02  3.03000000e-01  5.00000000e-01 
 3.04000000e-01  2.22829996e-02  3.04000000e-01  5.00000000e-01 
 3.05000000e-01  2.22868644e-02  3.05000000e-01  5.00000000e-01 
 3.06000000e-01  2.22908352e-02  3.06000000e-01  5.00000000e-01 
 3.07000000e-01  2.22949145e-02  3.07000000e-01  5.00000000e-01 
 3.08000000e-01  2.22991059e-02  3.08000000e-01  5.00000000e-01 
 3.09000000e-01  2.23034070e-02  3.09000000e-01  5.00000000e-01 
 3.10000000e-01  2.23078257e-02  3.10000000e-01  5.00000000e-01 
 3.11000000e-01  2.23123632e-02  3.11000000e-01  5.00000000e-01 
 3.12000000e-01  2.23170268e-02  3.12000000e-01  5.00000000e-01 
 3.13000000e-01  2.23218134e-02  3.13000000e-01  5.00000000e-01 
 3.14000000e-01  2.23267304e-02  3.14000000e-01  5.00000000e-01 
 3.15000000e-01  2.23317765e-02  3.15000000e-01  5.00000000e-01 
 3.16000000e-01  2.23369668e-02  3.16000000e-01  5.00000000e-01 
 3.17000000e-01  2.23422928e-02  3.17000000e-01  5.00000000e-01 
 3.18000000e-01  2.23477643e-02  3.18000000e-01  5.00000000e-01 
 3.19000000e-01  2.23533835e-02  3.19000000e-01  5.00000000e-01 
 3.20000000e-01  2.23591539e-02  3.20000000e-01  5.00000000e-01 
 3.21000000e-01  2.23650818e-02  3.21000000e-01  5.00000000e-01 
 3.22000000e-01  2.23711716e-02  3.22000000e-01  5.00000000e-01 
 3.23000000e-01  2.23774212e-02  3.23000000e-01  5.00000000e-01 
 3.24000000e-01  2.23838430e-02  3.24000000e-01  5.00000000e-01 
 3.25000000e-01  2.23904398e-02  3.25000000e-01  5.00000000e-01 
 3.26000000e-01  2.23972127e-02  3.26000000e-01  5.00000000e-01 
 3.27000000e-01  2.24041708e-02  3.27000000e-01  5.00000000e-01 
 3.28000000e-01  2.24113136e-02  3.28000000e-01  5.00000000e-01 
 3.29000000e-01  2.24186560e-02  3.29000000e-01  5.00000000e-01 
 3.30000000e-01  2.24261900e-02  3.30000000e-01  5.00000000e-01 
 3.31000000e-01  2.24339345e-02  3.31000000e-01  5.00000000e-01 
 3.32000000e-01  2.24418838e-02  3.32000000e-01  5.00000000e-01 
 3.33000000e-01  2.24500510e-02  3.33000000e-01  5.00000000e-01 
 3.34000000e-01  2.24584404e-02  3.34000000e-01  5.00000000e-01 
 3.35000000e-01  2.24670549e-02  3.35000000e-01  5.00000000e-01 
 3.36000000e-01  2.24759031e-02  3.36000000e-01  5.00000000e-01 
 3.37000000e-01  2.24849907e-02  3.37000000e-01  5.00000000e-01 
 3.38000000e-01  2.24943223e-02  3.38000000e-01  5.00000000e-01 
 3.39000000e-01  2.25039125e-02  3.39000000e-01  5.00000000e-01 
 3.40000000e-01  2.25137601e-02  3.40000000e-01  5.00000000e-01 
 3.41000000e-01  2.25238698e-02  3.41000000e-01  5.00000000e-01 
 3.42000000e-01  2.25342603e-02  3.42000000e-01  5.00000000e-01 
 3.43000000e-01  2.25449284e-02  3.43000000e-01  5.00000000e-01 
 3.44000000e-01  2.25558890e-02  3.44000000e-01  5.00000000e-01 
 3.45000000e-01  2.25671431e-02  3.45000000e-01  5.00000000e-01 
 3.46000000e-01  2.25787059e-02  3.46000000e-01  5.00000000e-01 
 3.47000000e-01  2.25905819e-02  3.47000000e-01  5.00000000e-01 
 3.48000000e-01  2.26027802e-02  3.48000000e-01  5.00000000e-01 
 3.49000000e-01  2.26153080e-02  3.49000000e-01  5.00000000e-01 
 3.50000000e-01  2.26281768e-02  3.50000000e-01  5.00000000e-01 
 3.51000000e-01  2.26413972e-02  3.51000000e-01  5.00000000e-01 
 3.52000000e-01  2.26549740e-02  3.52000000e-01  5.00000000e-01 
 3.53000000e-01  2.26689223e-02  3.53000000e-01  5.00000000e-01 
 3.54000000e-01  2.26832480e-02  3.54000000e-01  5.00000000e-01 
 3.55000000e-01  2.26979646e-02  3.55000000e-01  5.00000000e-01 
 3.56000000e-01  2.27130808e-02  3.56000000e-01  5.00000000e-01 
 3.57000000e-01  2.27286075e-02  3.57000000e-01  5.00000000e-01 
 3.58000000e-01  2.27445572e-02  3.58000000e-01  5.00000000e-01 
 3.59000000e-01  2.27609414e-02  3.59000000e-01  5.00000000e-01 
 3.60000000e-01  2.27777729e-02  3.60000000e-01  5.00000000e-01 
 3.61000000e-01  2.27950645e-02  3.61000000e-01  5.00000000e-01 
 3.62000000e-01  2.28128258e-02  3.62000000e-01  5.00000000e-01 
 3.63000000e-01  2.28310702e-02  3.63000000e-01  5.00000000e-01 
